district,district_en,community,title,layout,bedrooms,area_sqm,orientation,decoration,decoration_en,floor_level,floor_level_en,total_floors,build_year,property_age,building_type,building_type_en,total_price_wan,total_price_yuan,unit_price_yuan_sqm,tags,listing_url
fengxian,Fengxian,秀枫苑,奉贤新城宝龙商圈、新上中层、09年现浇房、随时看房,2室2厅,2.0,86.56,南,简装,Basic Furnished,低,Low,6.0,2009.0,16.0,板楼,Slab,155.0,1550000.0,17907.0,VR房源|随时看房,https://sh.lianjia.com/ershoufang/107115787681.html
fengxian,Fengxian,桐南美麓,上海之鱼旁15号线延伸 次新小区 开发商一手精装修3房,3室1厅,3.0,86.98,南,精装,Fully Furnished,低,Low,18.0,2019.0,6.0,板楼,Slab,202.0,2020000.0,23224.0,VR看装修|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107111928146.html
fengxian,Fengxian,金都雅苑,高品质别墅小区，中间楼层，飞机户型，前后无遮挡,3室1厅,3.0,104.81,南 北,简装,Basic Furnished,低,Low,6.0,2005.0,20.0,板楼,Slab,208.0,2080000.0,19846.0,VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115264158.html
fengxian,Fengxian,江海二村(奉贤),美丽家园改造育秀学屈，位置好，公园旁边,2室2厅,2.0,89.5,南,简装,Basic Furnished,高,High,6.0,1995.0,30.0,板楼,Slab,88.8,888000.0,9922.0,VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115448025.html
fengxian,Fengxian,金都雅苑,金都雅苑落地窗，采光视野hao，精装修拎包入住,2室2厅,2.0,99.13,南 北,精装,Fully Furnished,高,High,6.0,2005.0,20.0,板楼,Slab,158.0,1580000.0,15939.0,VR房源|随时看房,https://sh.lianjia.com/ershoufang/107115503400.html
fengxian,Fengxian,文怡花园,近地铁+满五+好楼层+看房方便+采光好,2室2厅,2.0,98.76,南 北,精装,Fully Furnished,高,High,6.0,2004.0,21.0,板楼,Slab,158.0,1580000.0,15999.0,近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115368595.html
fengxian,Fengxian,阳光园(二期)(三期),阳光版块现浇房，大飞机户型，中间楼层采光好,3室2厅,3.0,140.44,南,简装,Basic Furnished,中,Mid,6.0,2005.0,20.0,板楼,Slab,248.0,2480000.0,17659.0,VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115742625.html
fengxian,Fengxian,阳光城未来悦,2023年商品小区＋精装好房＋近地铁综合体和医院,2室1厅,2.0,82.85,南,精装,Fully Furnished,低,Low,21.0,2023.0,2.0,板楼,Slab,205.0,2050000.0,24744.0,近地铁|VR房源|随时看房,https://sh.lianjia.com/ershoufang/107115345076.html
fengxian,Fengxian,禹洲雍贤府,雍贤府三房精装修中楼层＋业主诚意+产权车位+看房方便,3室2厅,3.0,89.66,南,精装,Fully Furnished,中,Mid,18.0,2018.0,7.0,板楼,Slab,243.0,2430000.0,27103.0,VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115162371.html
fengxian,Fengxian,绿地南桥新苑,双固定车位，价格实惠，看房有钥匙房东诚心出售,3室2厅,3.0,109.91,南,精装,Fully Furnished,高,High,6.0,2006.0,19.0,板楼,Slab,249.0,2490000.0,22655.0,VR看装修|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107110866256.html
fengxian,Fengxian,朗诗未来街区,精装复式双露台 家门口龙湖天街  40万装修,2室1厅,2.0,74.64,南,精装,Fully Furnished,高,High,5.0,2015.0,10.0,板楼,Slab,190.0,1900000.0,25456.0,VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115577583.html
fengxian,Fengxian,贝港花苑,此房楼层好 户型好 哪哪都好 赶紧来看,3室2厅,3.0,96.83,南,简装,Basic Furnished,中,Mid,6.0,1998.0,27.0,板楼,Slab,168.0,1680000.0,17350.0,VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115286985.html
fengxian,Fengxian,佳兆业8号,品质商品住宅，二期房龄新，低总价，小三房，停车方便,3室1厅,3.0,86.34,南,精装,Fully Furnished,中,Mid,14.0,2021.0,4.0,板楼,Slab,138.0,1380000.0,15984.0,VR房源|房本满两年|随时看房,https://sh.lianjia.com/ershoufang/107115476068.html
fengxian,Fengxian,西民旺苑,纯毛坯可塑性很强大三房，南枫线地铁口，南桥天地在建,3室2厅,3.0,132.97,南,毛坯,Bare Shell,低,Low,18.0,2013.0,12.0,板楼,Slab,223.0,2230000.0,16771.0,VR房源|房本满两年|随时看房,https://sh.lianjia.com/ershoufang/107115523029.html
