district,community,title,area_sqm,layout,orientation,monthly_rent_yuan,rent_per_sqm,tags,listing_url
hongkou,云舫小区,整租·云舫小区 2室2厅 南,74.0,2室2厅1卫,南,7560.0,102.2,自营|新上|近地铁|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH1959507338717036544.html
hongkou,35.00㎡,独栋·桂客公寓 大柏树店 近上海外语大学/免费健身房/空中花园/书吧-11 1室1厅,35.0,1室1厅1卫,,4888.0,139.7,独栋公寓|月租|拎包入住|近地铁|精装|有阳台|开放厨房|押一付一,https://sh.lianjia.com/apartment/58862.html
hongkou,星苑小区,整租·星苑小区 1室0厅 南,37.47,1室0厅1卫,南,3465.0,92.5,自营|新上|月租|押一付一|随时看房,https://sh.lianjia.com/zufang/SH1817148723247972352.html
hongkou,沪办大厦,整租·沪办大厦 2室1厅 南,98.97,2室1厅1卫,南,4500.0,45.5,,https://sh.lianjia.com/zufang/SH2165071688239153152.html
hongkou,灵新小区,整租·灵新小区 1室1厅 南,46.04,1室1厅1卫,南,4200.0,91.2,自营|新上|近地铁|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH1841078891297374208.html
hongkou,仅剩1间,独栋·友间公寓 广粤路76弄宝地虹乐苑店 免费班车/虹口龙之梦/大宁国际/大宁久光/上海大学/民水电/阳台房/可办居住证B 1室1厅,35.0,1室1厅1卫,,5000.0,142.9,独栋公寓|精装|有阳台|开放厨房|押一付一,https://sh.lianjia.com/apartment/52374.html
hongkou,意和家园,整租·意和家园 2室2厅 南,95.1,2室2厅1卫,南,6550.0,68.9,自营|新上|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH1909504839356776448.html
hongkou,仅剩1间,独栋·青云路城建大厦 青云路城建大厦人才公寓店 温馨一居室 民水民电 可提取公积金 近西藏北路地铁 1室1厅,26.28,1室1厅1卫,,4500.0,171.2,独栋公寓|近地铁|精装|开放厨房|押一付一,https://sh.lianjia.com/apartment/86387.html
hongkou,玉田新村,整租·玉田新村 1室0厅 南,26.0,1室0厅1卫,南,2600.0,100.0,自营|新上|月租|近地铁|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH1905237784566693888.html
hongkou,仅剩2间,独栋·微音公寓 中山一路店 大柏树地铁口精装修大窗阳光房一居，民用水电可办居住证 1室1厅,30.0,1室1厅1卫,,3400.0,113.3,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,https://sh.lianjia.com/apartment/98914.html
hongkou,商洛小区,整租·商洛小区 2室1厅 南/北,56.0,2室1厅1卫,南,5250.0,93.8,自营|新上|近地铁|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH2003108006417399808.html
hongkou,仅剩1间,独栋·桂客公寓 大柏树店 岳阳医院附近/对面就是商场/临近3/8号地铁-16A 1室1厅,35.0,1室1厅1卫,,4888.0,139.7,独栋公寓|拎包入住|近地铁|精装|有阳台|开放厨房|押一付一,https://sh.lianjia.com/apartment/58862.html
